DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.9,8.3,0,9,35,7.5,80.6,205.6,321.8,7.3,146.3,311.6
2,0.9,8.3,0,9,35,10.4,84.5,210,327.1,9.4,153.3,316.8
3,1,8.3,0,9,36,12.3,88.6,212.6,332.1,14.8,163.7,322.9
4,1,8.3,1.1,10,40.6,13.8,90,214,336.6,20,169.1,327.3
5,2.5,8.3,1.1,10.1,44,16.8,91.8,214.9,340.2,25.1,179.3,333.9
6,2.7,8.3,1.1,12.7,46.7,19.1,99.3,217.3,345.3,28.8,188,341.3
7,3,8.3,1.3,13.2,52.2,22.2,104.1,221.8,355.1,31.8,193.9,347.9
8,5,9.6,1.3,13.9,55.8,23.3,105.3,225.1,363.2,35,199.4,350
9,5,9.6,1.3,13.9,57.5,25.6,106,229.7,365.3,37.5,204.2,353.6
10,5,9.6,2.5,14,57.5,29.1,109.9,230.9,367.1,41.8,212.6,354.9
11,5,9.6,3.5,14,58.5,32.7,114.7,235.6,373.8,44.1,215.7,359.8
12,5.1,9.6,3.5,14.3,61.1,35.2,122.2,238.2,379.1,47.4,218,364.9
13,5.6,9.6,3.6,15.3,63.2,36.8,128.1,240.4,385.5,52.2,223.2,370.1
14,5.8,9.6,4,19,63.9,43,131.9,244.7,392.6,54.9,228.2,371.3
15,5.8,9.6,4.1,19,64.3,44.5,135.5,250.8,397.7,57.9,236.2,373.5
16,6.8,9.6,4.2,19.1,64.7,46.6,142.4,253,407.2,60.9,244.7,376.6
17,6.8,10,5,19.1,65.3,47.5,144.6,259.3,414,64.3,251.3,378
18,6.8,11.1,5.2,19.5,66.8,48.9,146.7,264,417.7,65.9,257.3,379.9
19,6.8,11.1,5.7,23.7,69.6,50.5,152.9,265.8,424,69.6,260.1,381.9
20,6.8,11.1,5.7,24.5,74.8,54.8,157.8,272.3,427.6,77.5,262.1,385.1
21,7,11.1,7.1,24.5,74.8,56,162.1,276.6,430.9,80.4,263.4,385.8
22,7,11.9,7.3,27.7,77.5,59.2,166.3,282.4,434.1,84,266.2,388.1
23,7,11.9,7.3,30.7,78.2,62.3,167.2,285.2,436.4,91.3,269.9,388.1
24,7,11.9,7.3,31.1,80.7,68,174.1,291.6,438.6,95.1,284.1,388.1
25,7,12,8.2,31.3,83.3,69.4,175.6,293.9,452.7,100.2,285.2,388.1
26,7,12,8.2,33.3,84.9,71.5,179.5,299.6,455.7,105.5,290,388.1
27,7,12.8,8.8,33.3,88.2,73.4,183.3,303.2,461.2,108.8,297.1,388.1
28,8.3,13.3,8.8,33.4,90.1,74.7,187.6,304.8,463.8,113,302.2,388.1
29,8.3,,9,33.7,90.6,76.8,192.5,308.9,471.2,125.4,304.4,388.1
30,8.3,,9,33.9,91.7,78.5,197,312.2,473.9,135.8,306.7,389.7
31,8.3,,9,,95.4,,199.4,318.9,,142.9,,391.6
